"id","country_id:id","name","code"
"state_co_308","base.co","TÁMESIS / Antioquia","05789"
"state_co_309","base.co","TARAZÁ / Antioquia","05790"
"state_co_310","base.co","TARSO / Antioquia","05792"
"state_co_311","base.co","TITIRIBÍ / Antioquia","05809"
"state_co_312","base.co","TOLEDO / Antioquia","05819"
"state_co_313","base.co","TURBO / Antioquia","05837"
"state_co_314","base.co","URAMITA / Antioquia","05842"
"state_co_315","base.co","URRAO / Antioquia","05847"
"state_co_316","base.co","VALDIVIA / Antioquia","05854"
"state_co_317","base.co","VALPARAÍSO / Antioquia","05856"
"state_co_318","base.co","VEGACHÍ / Antioquia","05858"
"state_co_319","base.co","VENECIA / Antioquia","05861"
"state_co_320","base.co","VIGÍA DEL FUERTE / Antioquia","05873"
"state_co_321","base.co","YALÍ / Antioquia","05885"
"state_co_322","base.co","YARUMAL / Antioquia","05887"
"state_co_323","base.co","YOLOMBÓ / Antioquia","05890"
"state_co_324","base.co","YONDÓ / Antioquia","05893"
"state_co_325","base.co","ZARAGOZA / Antioquia","05895"
"state_co_326","base.co","BARRANQUILLA / Atlántico","08001"
"state_co_327","base.co","BARANOA / Atlántico","08078"
"state_co_328","base.co","CAMPO DE LA CRUZ / Atlántico","08137"
"state_co_329","base.co","CANDELARIA / Atlántico","08141"
"state_co_330","base.co","GALAPA / Atlántico","08296"
"state_co_331","base.co","JUAN DE ACOSTA / Atlántico","08372"
"state_co_332","base.co","LURUACO / Atlántico","08421"
"state_co_333","base.co","MALAMBO / Atlántico","08433"
"state_co_334","base.co","MANATÍ / Atlántico","08436"
"state_co_335","base.co","PALMAR DE VARELA / Atlántico","08520"
"state_co_336","base.co","PIOJÓ / Atlántico","08549"
"state_co_337","base.co","POLONUEVO / Atlántico","08558"
"state_co_338","base.co","PONEDERA / Atlántico","08560"
"state_co_339","base.co","PUERTO COLOMBIA / Atlántico","08573"
"state_co_340","base.co","REPELÓN / Atlántico","08606"
"state_co_341","base.co","SABANAGRANDE / Atlántico","08634"
"state_co_342","base.co","SABANALARGA / Atlántico","08638"
"state_co_343","base.co","SANTA LUCÍA / Atlántico","08675"
"state_co_344","base.co","SANTO TOMÁS / Atlántico","08685"
"state_co_345","base.co","SOLEDAD / Atlántico","08758"
"state_co_346","base.co","SUAN / Atlántico","08770"
"state_co_347","base.co","TUBARÁ / Atlántico","08832"
"state_co_348","base.co","USIACURÍ / Atlántico","08849"
"state_co_349","base.co","BOGOTÁ / Bogotá D.C","11001"
"state_co_350","base.co","CARTAGENA / Bolívar","13001"
"state_co_351","base.co","ACHÍ / Bolívar","13006"
"state_co_352","base.co","ALTOS DEL ROSARIO / Bolívar","13030"
"state_co_353","base.co","ARENAL / Bolívar","13042"
"state_co_354","base.co","ARJONA / Bolívar","13052"
"state_co_355","base.co","ARROYOHONDO / Bolívar","13062"
"state_co_356","base.co","BARRANCO DE LOBA / Bolívar","13074"
"state_co_357","base.co","CALAMAR / Bolívar","13140"
"state_co_358","base.co","CANTAGALLO / Bolívar","13160"
"state_co_359","base.co","CICUCO / Bolívar","13188"
"state_co_360","base.co","CÓRDOBA / Bolívar","13212"
"state_co_361","base.co","CLEMENCIA / Bolívar","13222"
"state_co_362","base.co","EL CARMEN DE BOLÍVAR / Bolívar","13244"
"state_co_363","base.co","EL GUAMO / Bolívar","13248"
"state_co_364","base.co","EL PEÑÓN / Bolívar","13268"
"state_co_365","base.co","HATILLO DE LOBA / Bolívar","13300"
"state_co_366","base.co","MAGANGUÉ / Bolívar","13430"
"state_co_367","base.co","MAHATES / Bolívar","13433"
"state_co_368","base.co","MARGARITA / Bolívar","13440"
"state_co_369","base.co","MARÍA LA BAJA / Bolívar","13442"
"state_co_370","base.co","MONTECRISTO / Bolívar","13458"
"state_co_371","base.co","MOMPÓS / Bolívar","13468"
"state_co_372","base.co","MORALES / Bolívar","13473"
