id,code,name,user_type_id:id,reconcile,chart_template_id:id
ID_C134510,134510,INTERESES,account.data_account_type_receivable,true,l10n_co_comercial
ID_C134515,134515,COMISIONES,account.data_account_type_receivable,true,l10n_co_comercial
ID_C134520,134520,HONORARIOS,account.data_account_type_receivable,true,l10n_co_comercial
ID_C134525,134525,SERVICIOS,account.data_account_type_receivable,true,l10n_co_comercial
ID_C134530,134530,ARRENDAMIENTOS,account.data_account_type_receivable,true,l10n_co_comercial
ID_C134535,134535,CERT POR COBRAR,account.data_account_type_receivable,true,l10n_co_comercial
ID_C134595,134595,OTROS,account.data_account_type_receivable,true,l10n_co_comercial
ID_C135005,135005,DE CONSTRUCCION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135010,135010,DE PRESTACION DE SERVICIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135095,135095,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135505,135505,ANTICIPO DE IMPUESTOS DE RENTA Y COMPLEMENTARIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135510,135510,ANTICIPO DE IMPUESTOS DE INDUSTRIA Y COMERCIO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135515,135515,RETENCION EN LA FUENTE,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135517,135517,IMPUESTO A LAS VENTAS RETENIDO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135518,135518,IMPUESTO DE INDUSTRIA Y COMERCIO RETENIDO,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135520,135520,SOBRANTES EN LIQUIDACION PRIVADA DE IMPUESTOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135525,135525,CONTRIBUCIONES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135530,135530,IMPUESTOS DESCONTABLES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C135595,135595,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136005,136005,A COMPAÑIAS ASEGURADORAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136010,136010,A TRANSPORTADORES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136015,136015,POR TIQUETES AEREOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136095,136095,OTRAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136505,136505,VIVIENDA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136510,136510,VEHICULOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136515,136515,EDUCACION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136520,136520,MEDICOS; ODONTOLOGICOS Y SIMILARES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136525,136525,CALAMIDAD DOMESTICA,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136530,136530,RESPONSABILIDADES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C136595,136595,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C137005,137005,CON GARANTIA REAL,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C137010,137010,CON GARANTIA PERSONAL,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138005,138005,DEPOSITARIOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138010,138010,COMISIONISTAS DE BOLSAS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138015,138015,FONDO DE INVERSION,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138020,138020,CUENTAS POR COBRAR DE TERCEROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138025,138025,PAGOS POR CUENTA DE TERCEROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138030,138030,FONDOS DE INVERSION SOCIAL,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C138095,138095,OTROS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139905,139905,CLIENTES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139910,139910,CUENTAS CORRIENTES COMERCIALES,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139915,139915,CUENTAS POR COBRAR A CASA MATRIZ,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139920,139920,CUENTAS POR COBRAR A VINCULADOS ECONOMICOS,account.data_account_type_current_assets,false,l10n_co_comercial
ID_C139925,139925,CUENTAS POR COBRAR A SOCIOS Y ACCIONISTAS,account.data_account_type_current_assets,false,l10n_co_comercial
